Received data = , name = , count = 15
Received data = , name = atoning, count = 2
Received data = , name = enchantments, count = 1
Received data = , name = attack, count = 1
Received data = , name = attributed, count = 1
Received data = , name = ensued, count = 1
Received data = , name = avoided, count = 1
Received data = , name = equal, count = 1
Received data = , name = awakened, count = 1
Received data = , name = equipment, count = 3
Received data = , name = aware, count = 4
Received data = , name = bands, count = 1
Received data = , name = bank, count = 1
Received data = , name = excellent, count = 1
Received data = , name = baptism, count = 1
Received data = , name = exclaimed, count = 2
Received data = , name = battle, count = 8
Received data = , name = bearing, count = 2
Received data = , name = exists, count = 1
Received data = , name = beat, count = 1
Received data = , name = expectancy, count = 1
Received data = , name = expend, count = 1
Received data = , name = expense, count = 1
Received data = , name = because, count = 7
Received data = , name = exporting, count = 1
Received data = , name = expression, count = 1
Received data = , name = extent, count = 1
Received data = , name = beginnings, count = 1
Received data = , name = begins, count = 1
Received data = , name = begin’, count = 1
Received data = , name = behoves, count = 1
Received data = , name = faded, count = 1
Received data = , name = believe, count = 22
Received data = , name = failureas, count = 1
Received data = , name = believed, count = 1
Received data = , name = faithfully, count = 1
Received data = , name = belly, count = 2
Received data = , name = farfetched, count = 1
Received data = , name = fatal, count = 2
Received data = , name = circumstances, count = 1
Received data = , name = clad, count = 1
Received data = , name = clambering, count = 1
Received data = , name = cleanshaven, count = 1
Received data = , name = clearly, count = 5
Received data = , name = fault, count = 1
Received data = , name = climbed, count = 5
Received data = , name = closer, count = 2
Received data = , name = coatcollar, count = 2
Received data = , name = cock, count = 2
Received data = , name = bishops, count = 1
Received data = , name = collection, count = 4
Received data = , name = come, count = 23
Received data = , name = commercial, count = 1
Received data = , name = comply, count = 6
Received data = , name = concept, count = 2
Received data = , name = conduct, count = 1
Received data = , name = confirming, count = 1
Received data = , name = feature, count = 2
Received data = , name = considered, count = 1
Received data = , name = consisted, count = 1
Received data = , name = february, count = 1
Received data = , name = consult, count = 1
Received data = , name = contact, count = 4
Received data = , name = contain, count = 2
Received data = , name = conviction, count = 1
Received data = , name = cook, count = 2
Received data = , name = cooper, count = 5
Received data = , name = copied, count = 2
Received data = , name = corporation, count = 1
Received data = , name = fee, count = 8
Received data = , name = costs, count = 2
Received data = , name = countries, count = 1
Received data = , name = country, count = 2
Received data = , name = couple, count = 1
Received data = , name = feel, count = 2
Received data = , name = covered, count = 32
Received data = , name = cows, count = 1
Received data = , name = created, count = 2
Received data = , name = blood, count = 6
Received data = , name = crossing, count = 1
Received data = , name = blow, count = 1
Received data = , name = feet, count = 6
Received data = , name = cut, count = 1
Received data = , name = damn, count = 1
Received data = , name = dangling, count = 1
Received data = , name = dealers, count = 3
Received data = , name = dear, count = 9
Received data = , name = declared, count = 1
Received data = , name = declined, count = 1
Received data = , name = fever, count = 1
Received data = , name = bosnia, count = 1
Received data = , name = despair, count = 1
Received data = , name = field, count = 1
Received data = , name = desyatins, count = 1
Received data = , name = devil, count = 4
Received data = , name = bound, count = 4
Received data = , name = dig, count = 1
Received data = , name = dinner, count = 1
Received data = , name = directed, count = 1
Received data = , name = directly, count = 2
Received data = , name = director, count = 1
Received data = , name = disappointed, count = 1
Received data = , name = bowyer, count = 1
Received data = , name = disclaimers, count = 1
Received data = , name = discovered, count = 1
Received data = , name = discussion, count = 1
Received data = , name = disintegration, count = 1
Received data = , name = dismounted, count = 1
Received data = , name = displaying, count = 4
Received data = , name = distended, count = 1
Received data = , name = distinguished, count = 2
Received data = , name = distributing, count = 7
Received data = , name = distribution, count = 6
Received data = , name = file, count = 2
Received data = , name = ditch, count = 5
Received data = , name = domain, count = 8
Received data = , name = domestic, count = 1
Received data = , name = donation, count = 1
Received data = , name = filled, count = 2
Received data = , name = door, count = 5
Received data = , name = down, count = 76
Received data = , name = dozen, count = 1
Received data = , name = drawing, count = 3
Received data = , name = drawn, count = 1
Received data = , name = drink, count = 13
Received data = , name = breaks, count = 1
Received data = , name = driven, count = 5
Received data = , name = drops, count = 1
Received data = , name = drove, count = 16
Received data = , name = drowsed, count = 1
Received data = , name = drowsy, count = 1
Received data = , name = drunk, count = 9
Received data = , name = drunkenness, count = 2
Received data = , name = breathing, count = 1
Received data = , name = first, count = 4
Received data = , name = fitness, count = 1
Received data = , name = bright, count = 1
Received data = , name = brightest, count = 1
Received data = , name = flames, count = 1
Received data = , name = flattering, count = 1
Received data = , name = flung, count = 2
Received data = , name = build, count = 1
Received data = , name = built, count = 2
Received data = , name = followed, count = 1
Received data = , name = burned, count = 2
Received data = , name = fool, count = 2
Received data = , name = business, count = 3
Received data = , name = footstep, count = 1
Received data = , name = calamity, count = 1
Received data = , name = form, count = 6
Received data = , name = call, count = 4
Received data = , name = formats, count = 2
Received data = , name = formerly, count = 1
Received data = , name = forty, count = 2
Received data = , name = found, count = 5
Received data = , name = captive, count = 4
Received data = , name = four, count = 2
Received data = , name = framing, count = 1
Received data = , name = case, count = 7
Received data = , name = friend, count = 4
Received data = , name = castle, count = 2
Received data = , name = cautioned, count = 1
Received data = , name = frightened, count = 1
Received data = , name = from, count = 35
Received data = , name = further, count = 1
Received data = , name = centres, count = 1
Received data = , name = fuzzy, count = 1
Received data = , name = gasped, count = 1
Received data = , name = gbnewbypglaforg, count = 1
Received data = , name = channels, count = 1
Received data = , name = chap, count = 12
Received data = , name = get, count = 15
Received data = , name = characters, count = 2
Received data = , name = giggling, count = 1
Received data = , name = charities, count = 1
Received data = , name = glad, count = 3
Received data = , name = child, count = 1
Received data = , name = chosen, count = 1
Received data = , name = christendom, count = 9
Received data = , name = going, count = 5
Received data = , name = christians, count = 2
Received data = , name = goods, count = 1
Received data = , name = church’, count = 1
Received data = , name = circulated, count = 1
Received data = , name = clarion, count = 1
Received data = , name = clay’, count = 1
Received data = , name = clearly, count = 13
Received data = , name = growingpains, count = 1
Received data = , name = clothing, count = 2
Received data = , name = guessed, count = 1
Received data = , name = gutenbergtm, count = 56
Received data = , name = coincidence, count = 1
Received data = , name = habit, count = 2
Received data = , name = collecting, count = 1
Received data = , name = collection, count = 4
Received data = , name = hair, count = 2
Received data = , name = handed, count = 1
Received data = , name = come, count = 37
Received data = , name = cometh, count = 1
Received data = , name = handy, count = 1
Received data = , name = hardhearted, count = 1
Received data = , name = coming’, count = 2
Received data = , name = hardly, count = 4
Received data = , name = harm, count = 1
Received data = , name = commercial, count = 1
Received data = , name = has, count = 6
Received data = , name = hater, count = 1
Received data = , name = have, count = 52
Received data = , name = comparing, count = 1
Received data = , name = dug, count = 6
Received data = , name = dust, count = 1
Received data = , name = haze, count = 1
Received data = , name = compel, count = 1
Received data = , name = ear, count = 4
Received data = , name = earth, count = 3
Received data = , name = ebook, count = 10
Received data = , name = edition, count = 1
Received data = , name = education, count = 2
Received data = , name = ein, count = 1
Received data = , name = elbows, count = 1
Received data = , name = elder, count = 2
Received data = , name = electronic, count = 27
Received data = , name = email, count = 4
Received data = , name = employee, count = 1
Received data = , name = emptied, count = 2
Received data = , name = heaping, count = 1
Received data = , name = hear, count = 4
Received data = , name = entrance, count = 1
Received data = , name = heard, count = 1
Received data = , name = comply, count = 6
Received data = , name = equipment, count = 3
Received data = , name = evidently, count = 17
Received data = , name = examining, count = 1
Received data = , name = heart, count = 7
Received data = , name = exclaimed, count = 5
Received data = , name = exists, count = 1
Received data = , name = expend, count = 1
Received data = , name = expense, count = 1
Received data = , name = experienced, count = 1
Received data = , name = exporting, count = 1
Received data = , name = extent, count = 1
Received data = , name = factory, count = 1
Received data = , name = farther, count = 7
Received data = , name = concept, count = 2
Received data = , name = concern, count = 1
Received data = , name = favourites, count = 1
Received data = , name = fee, count = 8
Received data = , name = helps, count = 1
Received data = , name = feed, count = 2
Received data = , name = feel, count = 10
Received data = , name = feet, count = 17
Received data = , name = fete, count = 2
Received data = , name = field, count = 3
Received data = , name = file, count = 2
Received data = , name = filled, count = 4
Received data = , name = first, count = 18
Received data = , name = fitness, count = 1
Received data = , name = here, count = 10
Received data = , name = conclusions, count = 1
Received data = , name = flour, count = 2
Received data = , name = fluffy, count = 1
Received data = , name = flung, count = 1
Received data = , name = fluttering, count = 5
Received data = , name = folk, count = 2
Received data = , name = followed, count = 3
Received data = , name = hidden, count = 1
Received data = , name = concordats, count = 3
Received data = , name = foot, count = 7
Received data = , name = forearm, count = 1
Received data = , name = high, count = 11
Received data = , name = forestall, count = 1
Received data = , name = himself, count = 3
Received data = , name = his, count = 30
Received data = , name = hobble, count = 1
Received data = , name = confound, count = 1
Received data = , name = hope, count = 1
Received data = , name = hopefully, count = 1
Received data = , name = hopefulness, count = 1
Received data = , name = hotly, count = 1
Received data = , name = however, count = 3
Received data = , name = httppglaforgfundraising, count = 1
Received data = , name = considered, count = 1
Received data = , name = hugh, count = 1
Received data = , name = conspicuously, count = 1
Received data = , name = contact, count = 4
Received data = , name = contain, count = 3
Received data = , name = hurled, count = 1
Received data = , name = identify, count = 1
Received data = , name = idol, count = 1
Received data = , name = illdefined, count = 1
Received data = , name = convents, count = 2
Received data = , name = conviction, count = 3
Received data = , name = implied, count = 2
Received data = , name = implore, count = 2
Received data = , name = copied, count = 2
Received data = , name = cor, count = 1
Received data = , name = corporation, count = 1
Received data = , name = correction, count = 2
Received data = , name = include, count = 1
Received data = , name = included, count = 3
Received data = , name = incomplete, count = 1
Received data = , name = costs, count = 2
Received data = , name = counsels, count = 1
Received data = , name = countries, count = 1
Received data = , name = country, count = 7
Received data = , name = covered, count = 1
Received data = , name = created, count = 2
Received data = , name = indignation, count = 2
Received data = , name = individuals, count = 1
Received data = , name = crowns, count = 1
Received data = , name = crusaders, count = 1
Received data = , name = dangerous, count = 3
Received data = , name = instead, count = 1
Received data = , name = dare, count = 1
Received data = , name = daughter, count = 1
Received data = , name = international, count = 1
Received data = , name = david, count = 3
Received data = , name = intimately, count = 1
Received data = , name = dealing, count = 1
Received data = , name = dear, count = 2
Received data = , name = dec, count = 1
Received data = , name = is, count = 84
Received data = , name = form, count = 4
Received data = , name = formats, count = 2
Received data = , name = decaying, count = 2
Received data = , name = forty, count = 1
Received data = , name = found, count = 10
Received data = , name = four, count = 5
Received data = , name = fourth, count = 1
Received data = , name = fresh, count = 1
Received data = , name = friend, count = 6
Received data = , name = fright, count = 1
Received data = , name = frightened, count = 4
Received data = , name = frisked, count = 1
Received data = , name = from, count = 118
Received data = , name = frozen, count = 23
Received data = , name = fully, count = 2
Received data = , name = its, count = 11
Received data = , name = decline, count = 9
Received data = , name = further, count = 2
Received data = , name = gbnewbypglaforg, count = 1
Received data = , name = ive, count = 1
Received data = , name = get, count = 52
Received data = , name = gilt, count = 1
Received data = , name = glad, count = 8
Received data = , name = glades, count = 1
Received data = , name = glittered, count = 1
Received data = , name = gloomily, count = 1
Received data = , name = gloves, count = 2
Received data = , name = godfather, count = 1
Received data = , name = going, count = 14
Received data = , name = goingsheltered, count = 1
Received data = , name = goloshes, count = 2
Received data = , name = goods, count = 1
Received data = , name = defeats, count = 1
Received data = , name = greatgrandchildren, count = 1
Received data = , name = greeted, count = 1
Received data = , name = grinning, count = 1
Received data = , name = juice, count = 1
Received data = , name = guessed, count = 2
Received data = , name = guest, count = 3
Received data = , name = jump, count = 1
Received data = , name = gutenbergtm, count = 56
Received data = , name = definite, count = 1
Received data = , name = hair, count = 1
Received data = , name = halfway, count = 1
Received data = , name = halter, count = 1
Received data = , name = handkerchief, count = 1
Received data = , name = hanging, count = 5
Received data = , name = happen, count = 2
Received data = , name = hardly, count = 6
Received data = , name = harmfulness, count = 1
Received data = , name = harness, count = 8
Received data = , name = has, count = 6
Received data = , name = delightful, count = 2
Received data = , name = have, count = 59
Received data = , name = kept, count = 3
Received data = , name = hawklike, count = 1
Received data = , name = delights, count = 1
Received data = , name = heading, count = 1
Received data = , name = hear, count = 6
Received data = , name = heard, count = 22
Received data = , name = heart, count = 5
Received data = , name = heavenly, count = 1
Received data = , name = kill, count = 6
Received data = , name = depend, count = 2
Received data = , name = heir, count = 3
Received data = , name = here, count = 25
Received data = , name = deploring, count = 1
Received data = , name = hes, count = 4
Received data = , name = hesitation, count = 1
Received data = , name = , count = 141
Received data = , name = deposed, count = 1
Received data = , name = 13, count = 1
Received data = , name = 1c, count = 2
Received data = , name = 1e2, count = 1
Received data = , name = 1e6, count = 1
Received data = , name = 1f1, count = 1
Received data = , name = 1f5, count = 1
Received data = , name = depths, count = 1
Received data = , name = 4, count = 3
Received data = , name = 501c3, count = 2
Received data = , name = 5961887, count = 1
Received data = , name = 84116, count = 1
Received data = , name = 99712, count = 1
Received data = , name = abashed, count = 1
Received data = , name = able, count = 13
Received data = , name = abnormal, count = 1
Received data = , name = absolutely, count = 9
Received data = , name = abstract, count = 1
Received data = , name = abuse, count = 5
Received data = , name = abused, count = 1
Received data = , name = accept, count = 8
Received data = , name = accidental, count = 1
Received data = , name = accompanied, count = 1
Received data = , name = accomplished, count = 1
Received data = , name = accord, count = 1
Received data = , name = accumulated, count = 1
Received data = , name = accustomed, count = 2
Received data = , name = act, count = 12
Received data = , name = active, count = 4
Received data = , name = activitybeneficent, count = 1
Received data = , name = addition, count = 1
Received data = , name = addressing, count = 4
Received data = , name = adds, count = 1
Received data = , name = admiration, count = 2
Received data = , name = admiringly, count = 1
Received data = , name = admitted, count = 1
Received data = , name = affectation, count = 2
Received data = , name = afternoon, count = 1
Received data = , name = again, count = 52
Received data = , name = ages, count = 1
Received data = , name = agitation, count = 1
Received data = , name = agree, count = 12
Received data = , name = agreeable, count = 1
Received data = , name = agreed, count = 4
Received data = , name = agreement, count = 19
Received data = , name = labor, count = 1
Received data = , name = air, count = 10
Received data = , name = describes, count = 4
Received data = , name = ak, count = 1
Received data = , name = alexander, count = 1
Received data = , name = allowed, count = 2
Received data = , name = almost, count = 41
Received data = , name = description, count = 3
Received data = , name = alternate, count = 1
Received data = , name = alternated, count = 1
Received data = , name = although, count = 2
Received data = , name = ambush, count = 1
Received data = , name = american, count = 1
Received data = , name = amount, count = 1
Received data = , name = amour, count = 1
Received data = , name = amusing, count = 3
Received data = , name = analysis, count = 2
Received data = , name = angrylooking, count = 1
Received data = , name = desire, count = 7
Received data = , name = anguished, count = 1
Received data = , name = annoyance, count = 1
Received data = , name = answer, count = 30
Received data = , name = language, count = 2
Received data = , name = desired, count = 1
Received data = , name = antithesis, count = 2
Received data = , name = anton, count = 9
Received data = , name = antonitch, count = 8
Received data = , name = any, count = 93
Received data = , name = anywherei, count = 1
Received data = , name = apart, count = 4
Received data = , name = apollons, count = 1
Received data = , name = apologising, count = 2
Received data = , name = appearance, count = 7
Received data = , name = appears, count = 1
Received data = , name = appetising, count = 2
Received data = , name = applauded, count = 1
Received data = , name = are, count = 199
Received data = , name = lash, count = 1
Received data = , name = arias, count = 1
Received data = , name = arise, count = 4
Received data = , name = aristocratic, count = 1
Received data = , name = arm, count = 2
Received data = , name = arrange, count = 1
Received data = , name = arranged, count = 3
Received data = , name = arrant, count = 1
Received data = , name = last, count = 13
Received data = , name = as, count = 333
Received data = , name = ashes, count = 1
Received data = , name = asis, count = 1
Received data = , name = asked, count = 17
Received data = , name = aspire, count = 1
Received data = , name = assailant, count = 3
Received data = , name = assembled, count = 1
Received data = , name = asset, count = 1
Received data = , name = associate, count = 1
Received data = , name = associated, count = 8
Received data = , name = astonishingly, count = 1
Received data = , name = atoms, count = 1
Received data = , name = destruction, count = 2
Received data = , name = attack, count = 6
Received data = , name = laughter, count = 1
Received data = , name = law, count = 3
Received data = , name = develope, count = 1
Received data = , name = developed, count = 2
Received data = , name = leer, count = 1
Received data = , name = letter, count = 2
Received data = , name = directed, count = 2
Received data = , name = directly, count = 3
Received data = , name = director, count = 1
Received data = , name = life, count = 7
Received data = , name = disciples, count = 4
Received data = , name = lifelong, count = 1
Received data = , name = light, count = 1
Received data = , name = disclaimers, count = 1
Received data = , name = lightning, count = 1
Received data = , name = discovered, count = 1
Received data = , name = discussion, count = 1
Received data = , name = limited, count = 5
Received data = , name = line, count = 1
Received data = , name = list, count = 1
Received data = , name = displaying, count = 4
Received data = , name = listened, count = 1
Received data = , name = literary, count = 15
Received data = , name = live, count = 3
Received data = , name = located, count = 4
Received data = , name = locations, count = 2
Received data = , name = distinction, count = 1
Received data = , name = long, count = 7
Received data = , name = longdrawn, count = 1
Received data = , name = distributing, count = 7
Received data = , name = distribution, count = 6
Received data = , name = lovingly, count = 1
Received data = , name = divided’, count = 1
Received data = , name = divinely, count = 1
Received data = , name = doctrine, count = 3
Received data = , name = domain, count = 8
Received data = , name = dominions, count = 4
Received data = , name = donation, count = 1
Received data = , name = door, count = 3
Received data = , name = man, count = 14
Received data = , name = hidden, count = 2
Received data = , name = high, count = 9
Received data = , name = down, count = 22
Received data = , name = manners, count = 1
Received data = , name = himself, count = 69
Received data = , name = hire, count = 1
Received data = , name = his, count = 447
Received data = , name = hoarfrost, count = 3
Received data = , name = hole, count = 3
Received data = , name = holy, count = 3
Received data = , name = manys, count = 1
Received data = , name = hoof, count = 2
Received data = , name = hoofprints, count = 1
Received data = , name = hooves, count = 1
Received data = , name = mar, count = 1
Received data = , name = hope, count = 1
Received data = , name = hoped, count = 1
Received data = , name = hopelessly, count = 1
Received data = , name = horsedealingwhich, count = 1
Received data = , name = horses, count = 18
Received data = , name = drawing, count = 2
Received data = , name = hospital, count = 1
Received data = , name = marked, count = 2
Received data = , name = house, count = 25
Received data = , name = drawn, count = 2
Received data = , name = however, count = 4
Received data = , name = dread, count = 2
Received data = , name = howling, count = 3
Received data = , name = marys, count = 3
Received data = , name = httppglaforgfundraising, count = 1
Received data = , name = httpwwwgutenbergorg, count = 1
Received data = , name = httpwwwgutenbergorg98986, count = 1
Received data = , name = humour, count = 1
Received data = , name = master, count = 4
Received data = , name = hurriedly, count = 5
Received data = , name = icicles, count = 2
Received data = , name = icons, count = 4
Received data = , name = identify, count = 1
Received data = , name = dried, count = 3
Received data = , name = matters, count = 1
Received data = , name = imagination, count = 2
Received data = , name = immediately, count = 9
Received data = , name = driven, count = 1
Received data = , name = implicitly, count = 1
Received data = , name = implied, count = 2
Received data = , name = drunk, count = 1
Received data = , name = impressions, count = 3
